--------- beginning of main
01-05 17:54:03.420   245   245 I auditd  : type=1403 audit(0.0:2): policy loaded auid=4294967295 ses=4294967295
01-05 17:54:04.140     1     1 I init    : type=1400 audit(0.0:3): avc: denied { setattr } for name="gpiocontrol" dev="sysfs" ino=8648 scontext=u:r:init:s0 tcontext=u:object_r:sysfs:s0 tclass=lnk_file permissive=1
01-05 17:54:04.180     1     1 I init    : type=1400 audit(0.0:4): avc: denied { write } for name="trace_marker" dev="debugfs" ino=2067 scontext=u:r:init:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
01-05 17:54:05.523     0   244 I [mTEE]  : TEEI Daemon VERSION [BS.mt6755.D.2.2.1]
01-05 17:54:05.523     0   244 I [mTEE]  : TEEI Daemon start ...
01-05 17:54:05.774   244   253 I [mTEE]  : begin to init TEEI OS
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.774   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.774   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.775   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.775   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   255 I [mTEE]  : running in loadtee_fn.
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.776   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.776   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
